,test,a,b,mse-0-0,mse-0-1,mse-0-2,mse-0-3,mse-0-4,mse-0-5,mse-0-6,mse-0-7,mse-0-8,mse-0-9,mse-1-0,mse-1-1,mse-1-2,mse-1-3,mse-1-4,mse-1-5,mse-1-6,mse-1-7,mse-1-8,mse-1-9
19,1-19,4.2631994304262335,4.198204150539553,43.296207392958074,27.624391379884866,21.306927823393934,17.77670120163011,11.376385377153628,27.360592721796248,,22.650700967945937,19.187650552310455,28.144483742068168,42.17640552733753,37.81497153219274,51.24999161839709,60.32282659927875,35.34402021021752,43.97020582982982,,53.269746090748576,23.061591100026572,56.216723805370485
20,2-0,6.768715196522719,6.432316802166651,15.305012717281338,9.888438482812429,10.977790871344142,6.732541242496047,4.690815194699453,10.85171967012062,,8.947410841722732,7.751480443371748,10.919501825445149,15.422076087616395,12.572979568896612,16.459257303137143,21.613418278118402,12.242344900149956,19.23493751561085,,18.4269176446908,7.965071764260028,20.695927346877923
21,2-1,6.751998478386906,6.416762550546995,15.410529033788855,9.955514504235673,11.02086936529268,6.775201215763848,4.71447511564339,10.91367722862665,,8.986018965913644,7.795636324132299,10.982302484428065,15.505624834406214,12.632411017437459,16.559022424231014,21.75783377702998,12.271160851019031,19.27941835259995,,18.496343676839444,8.018693633600824,20.764209853871026
22,2-2,6.768837337653956,6.432468489450412,15.304107265216455,9.88788278330006,10.97763758221143,6.732138446568501,4.69072643559456,10.851366070993686,,8.947236874055413,7.751166407491044,10.919131302401569,15.421256749627211,12.572299057467735,16.458446166533047,21.61229669678699,12.241949760026213,19.234483409883225,,18.42630195239447,7.964612818203527,20.695517440992507
23,2-3,6.786926722769579,6.449235923218323,15.191116358361048,9.815958690316315,10.93099330001912,6.686472346186905,4.665160490288476,10.784619499374493,,8.905753391144737,7.703695254624811,10.851523398175306,15.33230687981323,12.509491278139667,16.351939034794377,21.457329485797104,12.212397127056875,19.187892244582226,,18.352955021877342,7.907161526259787,20.623170023215643
24,2-4,6.774635020625811,6.437778845055257,15.268016028796048,9.864882401852364,10.962392157174067,6.7176182921131105,4.682372934934617,10.829758595302884,,8.933709918669807,7.735902973582057,10.897262274440784,15.392979773084068,12.55246527970012,16.424308657561273,21.562613643938143,12.232646608195179,19.2196259189353,,18.402805799439346,7.946263073735075,20.67200138489255
25,2-5,8.792365507028142,8.268824920144842,7.553232615251801,4.56448682103351,6.899622973836588,3.4143988665922977,2.6340588313463584,5.608411210192618,,6.446786261234292,4.017858087346424,5.696107281378302,11.029751537144998,10.628669814234197,10.696159140946664,10.11748503132762,15.067781972671662,20.30289257909372,,17.4764060333315,3.808016175155599,20.319175288544987
26,2-6,8.941323039483875,8.40954340762272,7.2676864501299745,4.3261842589458395,6.700095379106522,3.2643512993726964,2.544534908320228,5.3741184301742715,,6.406692035044953,3.8397300427528003,5.466620328191345,11.016789555631378,10.733761200320552,10.62089212471626,9.614023925012736,15.608951866327075,20.741551972346176,,17.808278525324724,3.622495240470841,20.763505745766185
27,2-7,8.72792425220552,8.2069509227972,7.688381766291071,4.674015074290205,6.985481071478784,3.4849675191768426,2.672831065869914,5.71248306932775,,6.465582133948715,4.097817841751414,5.798156946187708,11.048849444775318,10.595067782600175,10.739999216300593,10.347289585962304,14.844785237433715,20.124101766709416,,17.344194187260225,3.8942477631966277,20.135630013407432
28,2-8,8.41506353565722,8.021741828095914,8.27899925584178,5.148239259288859,7.831230099981033,3.6660347042964303,3.086742350994551,6.530296927548861,,6.935458367176954,4.559177698628641,6.593064975378816,10.964655455221774,10.145699658844194,11.098327485769119,11.535797032878243,13.842854858015695,19.443829498932896,,16.96505505748911,4.204677306198419,20.030077198134375
