test_no,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_7,mse_1_8,mse_1_9,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_4,mse_2_5,mse_2_7,mse_2_8,mse_2_9
test_2_12,13.383126345886282,"[1, 14.486048071503253]",7.2458637803042,1.7903179384338852,2.81640546064933,2.249489551528922,1.068157002391723,2.2522921631976,7.786612501646748,1.119866753986231,2.360901870572427,19.50796314874399,20.15939600208321,19.75079937097227,4.83275235156564,38.9062205050358,41.61407604371475,35.76602569024515,2.001653196118345,43.379151785493285
test_2_13,13.35249562515519,"[1, 14.142876847150687]",7.279918949429149,1.7928916612844792,3.558808147595505,2.002498950862822,1.398744571657452,2.714157760990232,8.276667390513575,1.316704065662577,2.844385818185045,19.11686155110285,19.523380930156836,19.7631267281831,5.09083633725714,38.6296103043074,41.520239806659895,35.83628443291271,1.798253836190415,44.11810340339937
test_2_14,13.538186646632147,"[1, 14.654265585326446]",7.436323216071694,1.80935494682164,2.76439622341749,2.285879822953714,1.065033282282165,2.263020565919233,7.913148041007261,1.095670768006774,2.366971729493044,19.971934392319053,20.552174167972446,20.18871686297697,4.90420936020238,39.774372372824466,42.449033345388244,36.49637862565363,2.024155579894849,44.28101002104671
test_2_15,12.008376531855617,"[1, 13.897477039887933]",7.312444619653524,2.850429651488375,2.055201516521737,4.25760375086498,0.8116398712094091,2.53307136758833,6.697952159380959,1.509158166343308,2.310274670553794,18.275918006905506,21.123220524136805,18.619158557915632,5.536430589908571,34.71713014268826,36.39544998838753,31.97731213907475,4.413712646582532,36.42116464132833
test_2_16,13.33841222063566,"[1, 15.09583967300936]",7.8797405625484,2.334658079948031,1.8179334686259971,3.47528349368315,0.7443014126506711,2.154604770348149,7.444111909938823,1.084983251353623,2.06744365135655,20.770238880960076,22.416437967535416,20.77852512894449,5.218629868232535,40.19306237358221,42.162643357045546,36.54769953752136,3.36242772016954,42.88748417437311
test_2_17,13.49064120429325,"[1, 15.269286806825436]",8.060722375781268,2.354885745594761,1.768873119198766,3.5119994525738782,0.74176861655167,2.166639760361027,7.562863359560199,1.063131141764364,2.074041540265514,21.20735989362564,22.784796505934924,21.191012027529847,5.2886753252568734,40.998925288790424,42.940122187339504,37.227207431776804,3.387240442566937,43.724249146844635
test_2_18,13.513295385818505,"[1, 15.295502941758787]",8.088771573004315,2.358692581822904,1.7613646701648702,3.518667086141547,0.7414191256384021,2.168929831681781,7.580742396807965,1.060161870542338,2.075328253425629,21.2737341715139,22.841472538987887,21.253746674196535,5.300154306009234,41.12000587849644,43.056497376107615,37.329351170784065,3.392297481992603,43.849056155653024
test_2_19,13.298290760087344,"[1, 15.050360053369152]",7.833265005925693,2.330158379949738,1.831026572491111,3.466585870466271,0.7451056485011901,2.152050263046409,7.413094586667582,1.091150271815213,2.066181364642685,20.656139608061107,22.320483304774847,20.670865641376157,5.20142625607625,39.981094437010306,41.95801417605888,36.36914410748877,3.356963680400626,42.66693286833305
test_2_20,9.518535336946822,"[1, 10.588664448922009]",5.9019510621476385,3.282328713183503,4.52155435666014,3.308253214666165,1.422285532351373,3.286890256676121,5.383083118216964,2.691276497149314,3.318313350744038,11.501843170726804,13.137135858849831,11.800735923320463,6.403270370671867,19.503337280285468,23.102380298941593,19.92862659727686,3.472256130474394,22.530251372656537
test_2_21,9.47470237322206,"[1, 10.53860391830217]",5.937082738518463,3.325286154909571,4.570410489372603,3.331637980090872,1.439470934854078,3.327377835961795,5.379303526141161,2.728669192873237,3.358354842913522,11.451322030985654,13.06633337911242,11.748364612509631,6.478775693886278,19.30126261392313,22.926146171325055,19.782309766831595,3.500666678443528,22.342301706421814
test_2_22,9.626760744963882,"[1, 10.710575392116935]",5.820787797424602,3.178858710648864,4.407345391251853,3.248973200332926,1.382383832981471,3.191061642478038,5.395996510391962,2.601952857141049,3.224209708249612,11.628819541719006,13.306903853236152,11.93204069509715,6.224641281279302,19.998989453164942,23.539005937241658,20.290765615833497,3.400410207365768,22.99977385731561
test_2_23,9.533984604110637,"[1, 10.604686647659584]",5.887492199642836,3.26574912503982,4.508149780968755,3.295772738785598,1.41741451002833,3.27315371966843,5.385062618345882,2.6786016230747203,3.305419974717726,11.514264154703135,13.152398034777434,11.814135801822989,6.376095804157344,19.565503049763457,23.159000800918356,19.9739446190937,3.457608699515577,22.59376452698186
test_2_24,9.550544529032285,"[1, 10.624164361753698]",5.87586532494518,3.250508550087598,4.4886533120072,3.288755846982103,1.41066251547328,3.258097490079547,5.386611180423294,2.66459364081462,3.290282932334139,11.536163423703686,13.183127038028557,11.836550911487258,6.348765067118277,19.645738034684594,23.22835921722929,20.03228458731749,3.448861358681898,22.666716876115977
test_2_25,7.359324033813003,"[1, 8.294039063284442]",10.990361395052096,7.195851813898928,7.334738352226294,6.145318011902719,2.625392106671084,6.626438998589437,6.365685990232941,5.426683360330686,6.5328489761705,12.988005472795464,13.347167882940717,13.094893072020346,13.550363562487947,13.87972233563325,18.54418423246094,17.143037821136705,6.747473529547504,17.66357797346956
test_2_26,7.312784102531916,"[1, 8.240792440106423]",11.184367930150191,7.323781280494879,7.42836260537039,6.22720895809106,2.668293013565565,6.739166884153037,6.424522898836369,5.514616761198293,6.645312387710096,13.104147579786886,13.404245406248304,13.207583298022202,13.802858591616268,13.832706232321968,18.53652729295175,17.180082180031786,6.842990775785963,17.67554648384576
test_2_27,7.389111101324451,"[1, 8.328327175972458]",10.869201227906748,7.115630620599116,7.2749425337241,6.094610926596387,2.598218382321241,6.55549499683882,6.329182042560277,5.37116144174071,6.46196975636355,12.917494221338291,13.314886286488788,13.026829491865918,13.391853559286025,13.914742932429261,18.55343010834113,17.124269989091665,6.688321461231214,17.66066811638772
test_2_28,7.359973419690945,"[1, 8.294531626745183]",10.987252263902217,7.193796828863089,7.33413588092592,6.143239364880701,2.624987706500796,6.624883999560192,6.364877002001239,5.425564379734955,6.5314689315270655,12.985332210723975,13.344263774269965,13.092168435257927,13.546805457376031,13.878219603744927,18.543031973920698,17.141020180704835,6.745115806133872,17.662553246574333
test_2_29,7.396070285978316,"[1, 8.336246696152989]",10.84102771732425,7.096939599176614,7.261302433995316,6.082520645758808,2.591986615983596,6.539053721672691,6.320778887714139,5.358317316017609,6.44560978461137,12.900945655111574,13.30683784948782,13.010831869874002,13.355127240044915,13.922467038604077,18.55547669225571,17.119724145514176,6.674246480350022,17.660096804998886
