test_no,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_7,mse_1_8,mse_1_9,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_4,mse_2_5,mse_2_7,mse_2_8,mse_2_9
test_2_2,7.3344796197763,"[1, 7.733360475557163]",11.23242632835417,7.406432670034337,9.593804564650418,5.142368495006155,3.566341707823482,7.899043383138089,7.438694810458128,6.175396390413556,7.954253232599569,11.705189979466875,10.330295135467948,12.383390578759805,14.837489453872156,10.74589168543174,16.903430275427134,15.665480408136094,5.875893722660601,17.924196546868053
test_2_3,7.351558785110155,"[1, 7.75183373217147]",11.153890410973696,7.354251242615908,9.556137592522335,5.108957892743053,3.548259106317734,7.852286849423314,7.412807927480074,6.139728016275455,7.90780155833784,11.654700665424823,10.303202473279049,12.333115600400536,14.734035972113428,10.758973263553264,16.900034026895938,15.643731153457452,5.83566571816488,17.909647674681874
test_2_4,7.337637359413274,"[1, 7.7368989370215715]",11.217545194605883,7.396526868593479,9.586128779830025,5.1361581264503045,3.562643195338475,7.889779821152429,7.43337137006694,6.168494868523887,7.945067695041458,11.695851314548358,10.325539516401015,12.373748355671935,14.817696646273198,10.748547501073112,16.902815264611522,15.661257211787033,5.868305849309598,17.920792006892555
test_2_5,9.464521397629902,"[1, 10.075065531484347]",5.735367871701552,3.209863521918131,5.946155268366511,2.544836931333816,1.987899659273395,3.976695631539201,5.988553555322574,3.064022989810546,4.104520943734674,10.24592420429259,10.939777497986503,11.006597175390228,6.801132534898653,17.34007291667744,21.744489634364157,18.69855770393932,2.739119231997067,22.387124325501556
test_2_6,9.508273686717214,"[1, 10.122469658724475]",5.693209164439899,3.161666300270315,5.895097900914628,2.51657647620433,1.969057264993298,3.9313381589745093,5.989789455897478,3.023633806785682,4.060435057718091,10.289937998032748,11.005571045748132,11.052585548679188,6.71633339117786,17.542990286480865,21.91999106477999,18.84275931947243,2.704349643227236,22.57376070077522
test_2_7,9.437985269485756,"[1, 10.045908171382841]",5.76224967825946,3.23985741256225,5.97898875192357,2.5620775695112012,2.000217204224513,4.005790466395442,5.989212348004838,3.089356654979549,4.132825040152218,10.219647234241943,10.899358881651985,10.97982863885846,6.854528838557267,17.216868697066992,21.6385374171162,18.611998251596575,2.760507888669474,22.276157046470214
test_2_8,9.442812432524855,"[1, 9.908085105930073]",5.921044946467391,3.354064207837402,6.559660078197788,2.51488106285033,2.2786106393467582,4.45805778468542,6.4042159287773135,3.292231778112591,4.5705074540297055,10.053070805848229,10.562313681062,11.130385735497757,7.217267667530563,16.97608742191746,21.54036180900483,18.681981171511307,2.785107116171646,22.78896980344081
test_2_9,9.404461912038743,"[1, 9.868154084538892]",5.960616076455205,3.397845479870972,6.601568550121308,2.541575423393756,2.2938948777507813,4.496629784597987,6.401437321338646,3.327627635858237,4.60793287417928,10.01931439244723,10.508837729835669,11.0920712050115,7.293678749393702,16.800453090756136,21.389016592873222,18.556936462570373,2.817393874829695,22.623868660469785
test_2_10,13.426199548115182,"[1, 14.533189360263142]",7.298317490400377,1.7953784830409192,2.800845556513464,2.259816328936282,1.066821431576427,2.254547113725859,7.821096169962666,1.112746537319288,2.361828762804547,19.63706738965412,20.269442376122417,19.87234013877219,4.851853018520107,39.14799998110873,41.84618311764128,35.96896177753193,2.008111617413134,43.628950287764425
test_2_11,13.405173176087546,"[1, 14.510586700392151]",7.272745530420551,1.792988726571493,2.807568962551665,2.2552237178877093,1.067109277191675,2.252998636641073,7.803738669954612,1.116027044025417,2.3608705178616782,19.574566502940687,20.216705388461207,19.81314441753916,4.842324511289377,39.030406500555756,41.73298583666256,35.869922931359035,2.005400684510058,43.50617474556452
