time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd
14.92,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
14.93,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
14.94,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
14.95,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
14.96,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
14.97,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
14.98,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
14.99,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
15,245,0,255.037348515053,0.0746970301063357,-2,0,-0.7
0,100,-45,100,-45,-2.1,0,-0.7
1.38586837600529e-06,100,-45,100.000000000016,-45,-2.1,0,-0.7
8.31521025603171e-06,100,-45,100.000000000594,-45,-2.1,0,-0.7
4.29619196561638e-05,100,-45,100.000000015848,-45,-2.1,0,-0.7
0.000216195466656824,100.000000000064,-45,100.000000401322,-45,-2.1,0,-0.7
0.00108236320166013,100.000000040062,-45,100.000010058793,-45,-2.1,0,-0.7
0.00478286599945754,100.000014862477,-45,100.000196415732,-45,-2.1,0,-0.7
0.01,100.000273230271,-45,100.000858617713,-45,-2.1,0,-0.7
0.02,100.004059131459,-45,100.006289641795,-45,-2.1,0,-0.7
0.03,100.01907569476,-45,100.023401275484,-45,-2.1,0,-0.7
0.04,100.055949646135,-45,100.061122676936,-45,-2.1,0,-0.7
0.05,100.126726597995,-45,100.129009625946,-45,-2.1,0,-0.7
0.06,100.243738857877,-45,100.236954243419,-45,-2.1,0,-0.7
0.07,100.418804054763,-45,100.395025328073,-45,-2.1,0,-0.7
0.08,100.662717529221,-45,100.613331425568,-45,-2.1,0,-0.7
0.09,100.984985850482,-45,100.901839243722,-45,-2.1,0,-0.7
0.1,101.393740610455,-45,101.269942865405,-45,-2.1,0,-0.7
0.11,101.895773681967,-45,101.725828240264,-45,-2.1,0,-0.7
0.12,102.49664455061,-45,102.276018651092,-45,-2.1,0,-0.7
0.13,103.200822794002,-45,102.925356263791,-45,-2.1,0,-0.7
0.14,104.011840866181,-45,103.677260445423,-45,-2.1,0,-0.7
0.15,104.932442207376,-45,104.534058715582,-45,-2.1,0,-0.7
0.16,105.964716814662,-45,105.497299238406,-45,-2.1,0,-0.7
0.17,107.110221032547,-45,106.56799787437,-45,-2.1,0,-0.7
0.18,108.370081030962,-45,107.746815650115,-45,-2.1,0,-0.7
0.19,109.745080840077,-45,109.034179810702,-45,-2.1,0,-0.7
0.2,111.235736410643,-45,110.430364355016,-45,-2.1,0,-0.7
0.21,112.842357325858,-45,111.935543028502,-45,-2.1,0,-0.7
0.22,114.56509773649,-45,113.549824071058,-45,-2.1,0,-0.7
0.23,116.403997956701,-45,115.273272991349,-45,-2.1,0,-0.7
0.24,118.359018009206,-45,117.105927506095,-45,-2.1,0,-0.7
0.25,120.430064271391,-45,119.047807348565,-45,-2.1,0,-0.7
0.26,122.617010254586,-45,121.098920712275,-45,-2.1,0,-0.7
0.27,124.919712444054,-45,123.2592684838,-45,-2.1,0,-0.7
0.28,127.338022032317,-45,125.528847020636,-45,-2.1,0,-0.7
0.29,129.871793289124,-45,127.907649970229,-45,-2.1,0,-0.7
0.3,132.520889225185,-45,130.395669456563,-45,-2.1,0,-0.7
0.31,135.285180416599,-36.9007377261445,132.992896849333,-45,-2.1,0,-0.7
0.32,138.164400505058,-22.8093527472717,135.699323257633,-40.0815725780104,-2.1,0,-0.7
0.33,141.157397237188,-8.55969455280263,138.514576608402,-26.5516545684872,-2.1,0,-0.7
0.34,144.261176250721,5.7130010738189,141.437124853735,-12.9036606338595,-2.1,0,-0.7
0.35,147.470115819144,19.8130130098587,144.464099686419,0.762847629345458,-2.1,0,-0.7
0.36,150.77530058931,33.4910651491863,147.591627617893,14.3693732008043,-2.1,0,-0.7
0.37,154.16396239256,45,150.813108148608,27.711164262114,-2.1,0,-0.7
0.38,157.619152907846,45,154.117274944202,40.4379530743572,-2.1,0,-0.7
0.39,161.120266648835,45,157.489983066691,45,-2.1,0,-0.7
0.4,164.64467217451,45,160.915803907915,45,-2.1,0,-0.7
0.41,168.16949488486,45,164.380232101614,45,-2.1,0,-0.7
0.42,171.673064017798,45,167.871038137342,45,-2.1,0,-0.7
0.43,175.135884012258,45,171.376059462245,45,-2.1,0,-0.7
0.44,178.541129524465,45,174.88299717136,45,-2.1,0,-0.7
0.45,181.87475576474,45,178.37995007911,45,-2.1,0,-0.7
0.46,185.125349830439,45,181.854983143947,45,-2.1,0,-0.7
0.47,188.28383985685,45,185.296353116347,45,-2.1,0,-0.7
0.48,191.343149841945,45,188.692751685964,45,-2.1,0,-0.7
0.49,194.297856047966,45,192.033117741714,45,-2.1,0,-0.7
0.5,197.143874708091,45,195.306615932676,45,-2.1,0,-0.7
0.51,199.878192840505,45,198.502845271661,45,-2.1,0,-0.7
0.52,202.498643422328,45,201.612496642638,45,-2.1,0,-0.7
0.53,205.003720971395,45,204.628154401305,45,-2.1,0,-0.7
0.54,207.392431713377,45,207.544425064654,45,-2.1,0,-0.7
0.55,209.664172435558,45,210.357526077663,45,-2.1,0,-0.7
0.56,211.818632839391,45,213.06487815346,45,-2.1,0,-0.7
0.57,213.855717126622,45,215.664749850386,45,-2.1,0,-0.7
0.58,215.775481409725,45,218.15597449723,45,-2.1,0,-0.7
0.59,217.57808422627,45,220.537759614913,45,-2.1,0,-0.7
0.6,219.263747951734,45,222.809560660133,45,-2.1,0,-0.7
0.61,220.832729278477,45,224.970998569198,45,-2.1,0,-0.7
0.62,222.285297201697,45,227.021805831191,45,-2.1,0,-0.7
0.63,223.621717162694,45,228.96179088206,45,-2.1,0,-0.7
0.64,224.842243423679,43.1055494587083,230.790814371022,45,-2.1,0,-0.7
0.65,225.947163462297,37.3334459740511,232.50877318982,45,-2.1,0,-0.7
0.66,226.937075347275,31.3616901777394,234.115589637269,45,-2.1,0,-0.7
0.67,227.813264794409,25.2411173676723,235.611204013938,45,-2.1,0,-0.7
0.68,228.578003374819,19.0455077158032,236.995569527243,45,-2.1,0,-0.7
0.69,229.234767103512,12.8664719258626,238.268648763224,45,-2.1,0,-0.7
0.7,229.788398858863,6.80986047820092,239.430411226605,45,-2.1,0,-0.7
0.71,230.24521997694,0.992440216931001,240.480831612748,45,-2.1,0,-0.7
0.72,230.613083521215,-4.46207650618918,241.419888583218,45,-2.1,0,-0.7
0.73,230.901354485594,-9.42818807374382,242.247563889363,45,-2.1,0,-0.7
0.74,231.120801635498,-13.7850160721117,242.963841737487,45,-2.1,0,-0.7
0.75,231.283391639705,-17.4235772621693,243.56870832261,39.3349484361038,-2.1,0,-0.7
0.76,231.401987154051,-20.254140972298,244.062478884181,32.5951449667288,-2.1,0,-0.7
0.77,231.489963994667,-22.2126967680603,244.446730808612,25.7357694082365,-2.1,0,-0.7
0.78,231.5607751338,-23.2655924796787,244.724893712088,18.8936800387134,-2.1,0,-0.7
0.79,231.627497635413,-23.4116798527396,244.902282388224,12.2120003448364,-2.1,0,-0.7
0.8,231.702400499996,-22.6817584291752,244.985986345409,5.82984832826946,-2.1,0,-0.7
0.81,231.796566210263,-21.135611239774,244.984354495827,-0.147085029486948,-2.1,0,-0.7
0.82,231.919588105675,-18.8573322992612,244.90617388511,-5.66967759145043,-2.1,0,-0.7
0.83,232.079352610143,-15.9498442059134,244.759805112094,-10.7502233757083,-2.1,0,-0.7
0.84,232.281903258394,-12.5294577798129,244.55253626094,-15.4484934328358,-2.1,0,-0.7
0.85,232.531375152957,-8.72107955937093,244.290335217947,-19.844369051855,-2.1,0,-0.7
0.86,232.829985214717,-4.65432672591229,243.978086861431,-24.003402547097,-2.1,0,-0.7
0.87,233.178065056557,-0.460474452443524,243.62007411801,-27.9587363916166,-2.1,0,-0.7
0.88,233.574128000769,3.73007489648645,243.220292338532,-31.7221106525744,-2.1,0,-0.7
0.89,234.014967594695,7.79020352365528,242.78254270262,-35.2991348383004,-2.1,0,-0.7
0.9,234.4957899225,11.5987217835864,242.310510220178,-38.6902023086077,-2.1,0,-0.7
0.91,235.010384542778,15.0434309593148,241.807845866654,-41.8900284266792,-2.1,0,-0.7
0.92,235.551338262932,18.0245707629202,241.278196788362,-44.8912222248597,-2.1,0,-0.7
0.93,236.11029232958,20.4583985574958,240.725232713365,-45,-2.1,0,-0.7
0.94,236.678237912523,22.2804904223039,240.154173476095,-45,-2.1,0,-0.7
0.95,237.245838498925,23.4483018959106,239.57268516968,-45,-2.1,0,-0.7
0.96,237.80376268547,23.9425946976315,238.989914134856,-45,-2.1,0,-0.7
0.97,238.343008263985,23.7675078503939,238.415786530009,-45,-2.1,0,-0.7
0.98,238.855199147062,22.9492800242084,237.860531019636,-45,-2.1,0,-0.7
0.99,239.332840375983,21.5338508140778,237.334471886045,-45,-2.1,0,-0.7
1,239.769522177409,19.5837226723533,236.847917468749,-45,-2.1,0,-0.7
1.01,240.160070306408,17.1745166733642,236.411125412447,-45,-2.1,0,-0.7
1.02,240.500645263246,14.3916020315043,236.034292431569,-45,-2.1,0,-0.7
1.03,240.788796365288,11.3270495100085,235.727425574845,-40.953086263551,-2.1,0,-0.7
1.04,241.023477719297,8.07699799117206,235.500129715062,-35.8604377831559,-2.1,0,-0.7
1.05,241.205032154515,4.73937798978646,235.35942636573,-30.0944390852132,-2.1,0,-0.7
1.06,241.33514689584,1.41184037399457,235.306391461422,-24.0690212325919,-2.1,0,-0.7
1.07,241.416782138157,-1.81029054770107,235.337212775395,-18.1343611935362,-2.1,0,-0.7
1.08,241.454071633747,-4.83618487779762,235.44700839339,-12.3755891141948,-2.1,0,-0.7
1.09,241.452193580832,-7.5818571843249,235.630799815081,-6.80992087000104,-2.1,0,-0.7
1.1,241.417210791659,-9.97265257965681,235.88287789147,-1.50049108070697,-2.1,0,-0.7
1.11,241.355881210201,-11.9457201606068,236.196519398579,3.46759623468166,-2.1,0,-0.7
1.12,241.275442872344,-13.4522536180903,236.563822364939,7.99523461160078,-2.1,0,-0.7
1.13,241.183380645591,-14.4592565169757,236.975758062633,11.9845907700953,-2.1,0,-0.7
1.14,241.087184775823,-14.9506228544728,237.42235174463,15.3484964034706,-2.1,0,-0.7
1.15,240.994112761734,-14.9274041866114,237.892935170262,18.0160036518028,-2.1,0,-0.7
1.16,240.910966028444,-14.4072426705936,238.37639552888,19.9326557139435,-2.1,0,-0.7
1.17,240.843891320513,-13.423057782048,238.861401360084,21.0593510404125,-2.1,0,-0.7
1.18,240.79821407961,-12.0211572960479,239.336633276015,21.3731639948238,-2.1,0,-0.7
1.19,240.778307939855,-10.2589831091559,239.791117023005,20.8752080376009,-2.1,0,-0.7
1.2,240.787501529385,-8.20269552120054,240.214818403918,19.6102153121459,-2.1,0,-0.7
1.21,240.828021531132,-5.92475466231765,240.599563545479,17.6912433547522,-2.1,0,-0.7
1.22,240.900969687137,-3.50159273668259,240.939917837467,15.2986278978815,-2.1,0,-0.7
1.23,241.006331094053,-1.0114062183902,241.233317652471,12.6279541204446,-2.1,0,-0.7
1.24,241.143011459988,1.46794968146133,241.479580515202,9.84551947307465,-2.1,0,-0.7
1.25,241.308901571776,3.86100112586744,241.68055702361,7.09752533815801,-2.1,0,-0.7
1.26,241.500967649153,6.09665747959497,241.83998742222,4.52410148938425,-2.1,0,-0.7
1.27,241.715366232763,8.11016994156126,241.9632438452,2.2507616835127,-2.1,0,-0.7
1.28,241.947581633582,9.84499948785314,242.056801335246,0.368307107247769,-2.1,0,-0.7
1.29,242.192582824302,11.2545072813933,242.12753820674,-1.08058876128551,-2.1,0,-0.7
1.3,242.444995208922,12.3033568621226,242.182155601337,-2.09425561542367,-2.1,0,-0.7
1.31,242.699281297361,12.9685169152029,242.226825014119,-2.69680857557698,-2.1,0,-0.7
1.32,242.949923280456,13.2397777055925,242.266958170016,-2.93006693017023,-2.1,0,-0.7
1.33,243.191600109068,13.1197382319303,242.307027474497,-2.85039098987393,-2.1,0,-0.7
1.34,243.419352041519,12.6232745587247,242.35045341111,-2.52423227376804,-2.1,0,-0.7
1.35,243.628726673732,11.7765502697662,242.399582030143,-2.0218744044128,-2.1,0,-0.7
1.36,243.815901993814,10.6156665927264,242.455748411838,-1.41128161647854,-2.1,0,-0.7
1.37,243.977783709759,9.18506590667522,242.519400419672,-0.753618570283398,-2.1,0,-0.7
1.38,244.112075687042,7.53579735258627,242.590254126492,-0.100706857033264,-2.1,0,-0.7
1.39,244.217323578017,5.72373188208329,242.667460588585,0.506119582604251,-2.1,0,-0.7
1.4,244.292932525057,3.80778459542556,242.749771352099,1.03627328538384,-2.1,0,-0.7
1.41,244.339160201632,1.8481737836939,242.835694261089,1.46956157758984,-2.1,0,-0.7
1.42,244.357086550541,-0.0952738202772434,242.923633417006,1.79537108987569,-2.1,0,-0.7
1.43,244.348561569746,-1.96476935912985,243.012008826147,2.01149717475064,-2.1,0,-0.7
1.44,244.316132563768,-3.70615203455255,243.099352820976,2.12272056213505,-2.1,0,-0.7
1.45,244.262952549902,-5.27040061587298,243.184381929244,2.13923963014888,-2.1,0,-0.7
1.46,244.192672028273,-6.61502525466972,243.266044527657,2.07507539699219,-2.1,0,-0.7
1.47,244.109317046834,-7.70528290234378,243.343546171765,1.94656204826854,-2.1,0,-0.7
1.48,244.017157296137,-8.51515222690787,243.416355625147,1.77100854953102,-2.1,0,-0.7
