time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd,r_0
3.01,248.681482513838,0.760762972248234,255.964443959737,2.10491516516044,-1.2,-0.01,-0.7,379
3.015,248.66378066546,0.760762972248234,255.932932965132,2.10491516516044,-1.2,-0.01,-0.7,379
3.02,248.645535567691,0.760762972248234,255.896198953236,2.10491516516044,-1.2,-0.01,-0.7,379
3.03,248.60741562707,0.760762972248234,255.808651697638,2.10491516516044,-1.2,-0.01,-0.7,379
3.04,248.567122696945,0.760762972248234,255.705272920311,2.10491516516044,-1.2,-0.01,-0.7,379
3.05,248.524656780636,0.760762972248234,255.589294776687,2.10491516516044,-1.2,-0.01,-0.7,379
3.06,248.480017880169,0.760762972248234,255.463113268794,2.10491516516044,-1.2,-0.01,-0.7,379
3.068,248.44274221193,0.760762972248234,255.356037163084,-6.22795545004974,-1.2,-0.01,-0.7,379
3.07,248.433205996589,0.760762972248234,255.328497056891,-6.22795545004974,-1.2,-0.01,-0.7,379
3.08,248.384221130213,0.760762972248234,255.187471075019,-6.22795545004974,-1.2,-0.01,-0.7,379
3.09,248.333063280843,0.760762972248234,255.043973836369,-6.22795545004974,-1.2,-0.01,-0.7,379
3.1,248.279732447934,0.760762972248234,254.903410577528,-6.22795545004974,-1.2,-0.01,-0.7,379
3.11,248.224228630726,0.760762972248234,254.770537125887,-6.22795545004974,-1.2,-0.01,-0.7,379
3.12,248.166551828345,0.760762972248234,254.648781120805,-6.22795545004974,-1.2,-0.01,-0.7,379
3.127,248.124885140013,0.760762972248234,254.571495887133,-3.59348214038535,-1.2,-0.01,-0.7,379
3.13,248.10670203988,0.760762972248234,254.540546511389,-3.59348214038535,-1.2,-0.01,-0.7,379
3.14,248.044679264435,0.760762972248234,254.447068196903,-3.59348214038535,-1.2,-0.01,-0.7,379
3.15,247.980483501164,0.760762972248234,254.368108724711,-3.59348214038535,-1.2,-0.01,-0.7,379
3.16,247.914114749297,0.760762972248234,254.302429174368,-3.59348214038535,-1.2,-0.01,-0.7,379
3.17,247.845573008149,0.760762972248234,254.248838396779,-3.59348214038535,-1.2,-0.01,-0.7,379
3.18,247.774858277127,0.760762972248234,254.206515195317,-3.59348214038535,-1.2,-0.01,-0.7,379
3.186,247.731386403161,0.760762972248234,254.186270702823,0.630687591122903,-1.2,-0.01,-0.7,379
3.19,247.701970555727,0.760762972248234,254.17486043692,0.630687591122903,-1.2,-0.01,-0.7,379
3.2,247.626909843531,0.760762972248234,254.153036979372,0.630687591122903,-1.2,-0.01,-0.7,379
3.21,247.549676140197,0.760762972248234,254.138967415497,0.630687591122903,-1.2,-0.01,-0.7,379
3.22,247.470269445454,0.760762972248234,254.129598106752,0.630687591122903,-1.2,-0.01,-0.7,379
3.23,247.388689759091,0.760762972248234,254.12235565555,0.630687591122903,-1.2,-0.01,-0.7,379
3.24,247.304937080947,0.760762972248234,254.115501243454,0.630687591122903,-1.2,-0.01,-0.7,379
3.245,247.262245869919,0.760762972248234,254.11181995126,0.630687591122903,-1.2,-0.01,-0.7,379
3.25,247.219011410905,0.760762972248234,254.107806798971,0.630687591122903,-1.2,-0.01,-0.7,379
3.26,247.130912748883,0.760762972248234,254.098445109495,0.630687591122903,-1.2,-0.01,-0.7,379
3.27,247.040641094825,0.760762972248234,254.086852261325,0.630687591122903,-1.2,-0.01,-0.7,379
3.28,246.948196448698,0.760762972248234,254.072656348366,0.630687591122903,-1.2,-0.01,-0.7,379
3.29,246.853578810487,0.760762972248234,254.055617797551,0.630687591122903,-1.2,-0.01,-0.7,379
3.3,246.756788180185,0.760762972248234,254.035591667335,0.630687591122903,-1.2,-0.01,-0.7,379
3.304,246.71746349028,0.760762972248234,254.026725700316,0.630687591122903,-1.2,-0.01,-0.7,379
3.31,246.657824557798,0.760762972248234,254.012499127452,0.630687591122903,-1.2,-0.01,-0.7,379
3.32,246.556687943334,0.760762972248234,253.986307844135,0.630687591122903,-1.2,-0.01,-0.7,379
3.33,246.453378336809,0.760762972248234,253.957017601406,0.630687591122903,-1.2,-0.01,-0.7,379
3.34,246.347895738235,0.760762972248234,253.924650115978,0.630687591122903,-1.2,-0.01,-0.7,379
3.35,246.24024014763,0.760762972248234,253.889241683109,0.630687591122903,-1.2,-0.01,-0.7,379
3.36,246.130411565009,0.760762972248234,253.850837951188,0.630687591122903,-1.2,-0.01,-0.7,379
3.363,246.097039256781,0.760762972248234,253.838739948685,0.630687591122903,-1.2,-0.01,-0.7,379
3.37,246.018409990385,0.760762972248234,253.809490204886,0.630687591122903,-1.2,-0.01,-0.7,379
3.38,245.904235423773,0.760762972248234,253.765252755077,0.630687591122903,-1.2,-0.01,-0.7,379
3.39,245.787887865183,0.760762972248234,253.71818112234,0.630687591122903,-1.2,-0.01,-0.7,379
3.4,245.669367314626,0.760762972248234,253.668330794181,0.630687591122903,-1.2,-0.01,-0.7,379
