time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd
6.09,255.005032971115,-0.0236698364842094,400,45,-2.2,-2,-0.7
6.1,255.004570826304,-0.022406267250726,400,45,-2.2,-2,-0.7
6.11,255.004147347298,-0.0205442029578861,400,45,-2.2,-2,-0.7
6.12,255.003768755953,-0.0181558859041622,400,45,-2.2,-2,-0.7
6.13,255.003439877929,-0.0153274849229749,400,45,-2.2,-2,-0.7
6.14,255.003164032787,-0.0121560937183914,400,45,-2.2,-2,-0.7
6.15,255.002942972855,-0.00874648271524732,400,45,-2.2,-2,-0.7
6.16,255.002776871335,-0.00520770976117759,400,45,-2.2,-2,-0.7
6.17,255.002664358623,-0.00164969627857068,400,45,-2.2,-2,-0.7
6.18,255.002602604395,0.00182012646851951,400,45,-2.2,-2,-0.7
6.19,255.002587441682,0.00510000137922611,400,45,-2.2,-2,-0.7
6.2,255.002613527982,0.00809676813595314,400,45,-2.2,-2,-0.7
6.21,255.002674537511,0.0107284432884333,400,45,-2.2,-2,-0.7
6.22,255.002763377872,0.0129263892839667,400,45,-2.2,-2,-0.7
6.23,255.002872423902,0.0146370182854867,400,45,-2.2,-2,-0.7
6.24,255.002993761134,0.0158229923050389,400,45,-2.2,-2,-0.7
6.25,255.003119431217,0.0164638974227559,400,45,-2.2,-2,-0.7
6.26,255.003241671826,0.0165563864797825,400,45,-2.2,-2,-0.7
6.27,255.003353143918,0.0161138008706344,400,45,-2.2,-2,-0.7
6.28,255.003447139844,0.0151652975155453,400,45,-2.2,-2,-0.7
6.29,255.003517766525,0.0137545214007468,400,45,-2.2,-2,-0.7
6.3,255.003560098845,0.0119378766367974,400,45,-2.2,-2,-0.7
6.31,255.003570299473,0.00978245970172586,400,45,-2.2,-2,-0.7
6.32,255.003545702403,0.00736372695429528,400,45,-2.2,-2,-0.7
6.33,255.003484858721,0.0047629745577929,400,45,-2.2,-2,-0.7
6.34,255.003387544257,0.0020647123532001,400,45,-2.2,-2,-0.7
6.35,255.003254729976,-0.000645985716525702,400,45,-2.2,-2,-0.7
6.36,255.003088517046,-0.00328607381046025,400,45,-2.2,-2,-0.7
6.37,255.002892039535,-0.00577699206444761,400,45,-2.2,-2,-0.7
6.38,255.002669338608,-0.00804691951237139,400,45,-2.2,-2,-0.7
6.39,255.002425212821,-0.010032759552805,400,45,-2.2,-2,-0.7
6.4,255.002165049725,-0.0116818053879697,400,45,-2.2,-2,-0.7
6.41,255.001894644402,-0.0129530439464639,400,45,-2.2,-2,-0.7
6.42,255.001620010798,-0.0138180690071162,400,45,-2.2,-2,-0.7
6.43,255.001347191765,-0.0142615868251647,400,45,-2.2,-2,-0.7
6.44,255.001082073608,-0.0142815104183382,400,45,-2.2,-2,-0.7
