time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd
6.6,244.984564602747,0.000659359750982323,246.712281334951,0,-1,0,-0.75
6.61,244.984776324449,0.000655452145054254,246.738327282145,0,-1,0,-0.75
6.62,244.984985365547,0.00066344792327333,246.76456300682,0,-1,0,-0.75
6.63,244.985191902452,0.000682170272171208,246.790988474675,0,-1,0,-0.75
6.64,244.985396089625,0.000710127650278412,246.81760365257,0,-1,0,-0.75
6.65,244.985598056547,0.000745575642781982,246.844408508489,0,-1,0,-0.75
6.66,244.985797905607,0.000786585126889214,246.871403011501,0,-1,0,-0.75
6.67,244.985995710984,0.00083111428801917,246.898587131725,0,-1,0,-0.75
6.68,244.986191518496,0.00087708183585309,246.92596084029,0,-1,0,-0.75
6.69,244.986385346396,0.000922438926209152,246.953524109305,0,-1,0,-0.75
6.7,244.986577187067,0.000965237413027205,246.981276911826,0,-1,0,-0.75
6.71,244.986767009503,0.00100369218802174,247.009219221818,0,-1,0,-0.75
6.72,244.98695476248,0.00103623578621666,247.037351014134,0,-1,0,-0.75
6.73,244.987140378285,0.00106156360709425,247.065672264474,0,-1,0,-0.75
6.74,244.987323776842,0.00107866861446866,247.094182949365,0,-1,0,-0.75
6.75,244.987504870103,0.00108686468891534,247.12288304613,0,-1,0,-0.75
6.76,244.987683566526,0.00108579824700456,247.151772532857,0,-1,0,-0.75
6.77,244.987859775495,0.00107544817262717,247.180851388381,0,-1,0,-0.75
6.78,244.988033411534,0.00105611447133952,247.210119592253,0,-1,0,-0.75
6.79,244.988204398178,0.00102839645052227,247.239577124715,0,-1,0,-0.75
6.8,244.988372671379,0.000993161519375275,247.269223966682,0,-1,0,-0.75
6.81,244.988538182362,0.00095150604070598,247.299060099715,0,-1,0,-0.75
6.82,244.988700899828,0.000904709807912501,247.329085505998,0,-1,0,-0.75
6.83,244.988860811488,0.000854185971462839,247.359300168322,0,-1,0,-0.75
6.84,244.989017924866,0.000801428208092401,247.389704070059,0,-1,0,-0.75
6.85,244.989172267395,0.000747957105658443,247.420297195147,0,-1,0,-0.75
6.86,244.989323885818,0.000695267538333398,247.451079528065,0,-1,0,-0.75
6.87,244.989472844937,0.000644778823641683,247.482051053822,0,-1,0,-0.75
