,Angles,PWM,Angles_1
277,-6.6,-8,-6.6
278,-6.6,-8,-6.6
279,-6.6,-8,-6.6
280,-6.6,-8,-6.6
281,-6.6,-8,-6.6
282,-6.6,-8,-6.6
283,-6.6,-8,-6.6
284,-6.6,-8,-6.6
285,-6.6,-8,-6.6
286,-6.6,-8,-6.6
287,-6.6,-8,-6.6
288,-6.6,-8,-6.6
289,-6.6,-8,-6.6
290,-6.6,-8,-6.6
291,-6.6,-8,-6.6
292,-6.6,-8,-6.6
293,-6.6,-8,-6.6
294,-6.6,-8,-6.6
295,-6.6,-8,-6.6
296,-6.6,-8,-6.6
297,-6.6,-8,-6.6
298,-6.6,-8,-6.6
299,-6.6,-8,-6.6
300,-6.6,-8,-6.6
301,-6.6,-8,-6.6
302,-6.6,-8,-6.6
303,-6.6,-8,-6.6
304,-6.6,-8,-6.6
305,-6.6,-8,-6.6
306,-6.6,-8,-6.6
307,-6.6,-8,-6.6
308,-6.6,-8,-6.6
309,-6.6,-22,-6.6
310,-7.8,-22,-6.6
311,-10.2,-22,-7.8
312,-11.4,-22,-10.2
313,-13.8,-22,-11.4
314,-15.0,-22,-13.8
315,-16.8,-22,-15.0
316,-18.0,-22,-16.8
317,-18.6,-22,-18.0
318,-19.2,-22,-18.6
319,-19.2,-22,-19.2
320,-19.2,-22,-19.2
321,-19.8,-22,-19.2
322,-19.8,-22,-19.8
323,-19.8,-22,-19.8
324,-19.8,-22,-19.8
325,-19.8,-22,-19.8
326,-19.8,-22,-19.8
327,-19.8,-22,-19.8
328,-19.8,-22,-19.8
329,-19.8,-22,-19.8
330,-19.8,-22,-19.8
331,-19.8,-22,-19.8
332,-19.8,-22,-19.8
333,-19.8,-22,-19.8
334,-19.8,-22,-19.8
335,-19.8,-22,-19.8
336,-19.8,-22,-19.8
337,-19.8,-22,-19.8
338,-19.8,-22,-19.8
339,-19.8,-22,-19.8
340,-19.8,-22,-19.8
341,-19.8,-22,-19.8
342,-19.8,-22,-19.8
343,-19.8,-22,-19.8
344,-19.8,-22,-19.8
345,-19.8,-22,-19.8
346,-19.8,-22,-19.8
347,-19.8,-22,-19.8
348,-19.8,-22,-19.8
349,-19.8,-22,-19.8
350,-19.8,-22,-19.8
351,-19.8,-22,-19.8
352,-19.8,-22,-19.8
353,-19.8,-22,-19.8
354,-19.8,-22,-19.8
355,-19.8,-22,-19.8
356,-19.8,-22,-19.8
357,-19.8,-22,-19.8
358,-19.8,-22,-19.8
359,-19.8,-22,-19.8
360,-19.8,-22,-19.8
361,-19.8,-22,-19.8
362,-19.8,-22,-19.8
363,-19.8,-22,-19.8
364,-19.8,-22,-19.8
365,-19.8,-22,-19.8
366,-19.8,-22,-19.8
367,-19.8,-22,-19.8
368,-19.8,-22,-19.8
369,-19.8,-22,-19.8
370,-19.8,-22,-19.8
371,-19.8,-22,-19.8
372,-19.8,-22,-19.8
373,-19.8,-22,-19.8
374,-19.8,-22,-19.8
375,-19.8,-22,-19.8
376,-19.8,-22,-19.8
377,-19.8,-22,-19.8
378,-19.8,-22,-19.8
379,-19.8,-22,-19.8
380,-19.8,-22,-19.8
381,-19.2,0,-19.8
382,-18.0,0,-19.2
383,-16.2,0,-18.0
384,-14.4,0,-16.2
385,-12.0,0,-14.4
386,-10.2,0,-12.0
387,-7.8,0,-10.2
388,-5.4,0,-7.8
389,-3.6,0,-5.4
390,-2.4,0,-3.6
391,-1.2,0,-2.4
392,-0.6,0,-1.2
393,0.0,0,-0.6
394,0.0,0,0.0
395,0.0,0,0.0
396,0.0,0,0.0
397,0.0,0,0.0
398,0.0,0,0.0
399,0.0,0,0.0
400,0.0,0,0.0
401,0.0,0,0.0
402,0.0,0,0.0
403,0.0,0,0.0
404,0.0,0,0.0
405,0.0,0,0.0
406,0.0,0,0.0
407,0.0,0,0.0
408,0.0,0,0.0
409,0.0,0,0.0
410,0.0,0,0.0
411,0.0,0,0.0
412,0.0,0,0.0
413,0.0,0,0.0
414,0.0,0,0.0
415,0.0,0,0.0
416,0.0,0,0.0
417,0.0,0,0.0
418,0.0,0,0.0
419,0.0,0,0.0
420,0.0,0,0.0
421,0.0,0,0.0
422,0.0,0,0.0
423,-0.6,-8,0.0
424,-1.8,-8,-0.6
425,-3.6,-8,-1.8
426,-4.8,-8,-3.6
427,-6.0,-8,-4.8
428,-6.6,-8,-6.0
429,-7.2,-8,-6.6
430,-7.2,-8,-7.2
431,-7.2,-8,-7.2
432,-7.2,-8,-7.2
433,-7.2,-8,-7.2
